text,hashtag,sentiment,sentiment_score
great pleasure coeditor martin cortex special issue discourse connected language,language,Positive,0.5785714285714286
reliably available disapproval approval genocide patriotism democracy convey large scale importance sometimes heavy cost paying actual attention language,language,Positive,0.10357142857142858
come inspire believe drama art discover nature book language,language,Neutral,0.0
come inspire believe geography art nature language,language,Neutral,0.0
join community proficiency communication aviation language workshop training conference essential teaching corporate,language,Neutral,0.0
daily german learn language every day airport part shorts language latest motivation shorts,language,Positive,0.16666666666666666
really enjoying new book lost found making like boat book lots different question sink float experiment explore language,language,Positive,0.21212121212121213
come inspire believe geography science art discovery nature language,language,Neutral,0.0
top score essay homework literacy language criminology history statistics tutor theology discussion assignment contact,language,Positive,0.5
happy birthday singer multilingual collins german language,language,Positive,0.4
artificial intelligence grammar tech technology language education,language,Negative,-0.6
poetry language diversity courage community solidarity pluralism inclusion peace dialogue join,language,Neutral,0.0
indeed latest brought round cruciality language consideration conversation coastal rural,language,Positive,0.09999999999999999
visual overview range risk becoming extinct stable ingrained government trade education language,language,Positive,0.016666666666666663
little stare ist rot german language,language,Negative,-0.09375
spoke different language would perceive somewhat different world,language,Neutral,0.0
different look language impact sports,language,Neutral,0.0
latest brought round weight importance language indeed locality matter discussion geographic dependent predominant,language,Positive,0.15
believer slander curse engage foul talk good deed keep language clean language slander,language,Positive,0.5333333333333333
wondering secret expanding vocabulary exposure encounter new word bottom mental iceberg engage higher elevate language,language,Negative,-0.02840909090909091
language early world language change first alison,language,Positive,0.175
small large language quickly becoming field artificial free language small,language,Negative,-0.0059523809523809494
spoken across wide swath northern canada russia native indigenous language linguistics,language,Negative,-0.1
exciting news announce update platform speaking language literally ready experience power truly universal platform upgrade latest version,language,Positive,0.25
welcome language education hub whether complete beginner looking enhance language youve come right place education language university,language,Positive,0.3952380952380952
choosing right classes pivotal decision determine path personal cultural success contact classes private limited today learn language,language,Positive,0.15918367346938775
language classes providing guidance achieve educational cultural contact classes private limited today learn language,language,Positive,0.06964285714285715
also ancient please complete properly language education landscape,language,Positive,0.05
apology apology doubt language,language,Neutral,0.0
music universal language powerful message radio way hearts vibrant music language powerful,language,Positive,0.19166666666666665
exploring realm ever many world join journey geographical distribution language crucial role translation world,language,Positive,0.25
looking forward day discussion latest legal language,language,Positive,0.35
certified translation iso certification translation service management system iso language,language,Neutral,0.0
join deep brains language network beyond neural architecture evolution speech system save date,language,Neutral,0.0
becoming becoming saying loud getting slang language pink,language,Positive,0.225
calling environmental article carbon learn vocabulary environment language environment car,language,Neutral,0.0
photo language livre linguistic reading read book mandarin,language,Positive,0.1
inauguration three language,language,Neutral,0.0
curious meaning time fall style dont explore track language change etymology,language,Negative,-0.1
know language german trainer tutor college university,language,Neutral,0.0
recruiting language service assistant deadline march assistant language linguistic administrative judicial job vacancy,language,Positive,0.1
good morning word day nice meet language,language,Positive,0.6499999999999999
mark excited host speech language days collaboration faculty research present latest work join,language,Positive,0.2916666666666667
talk meeting marc lots people move canada language worst economy language tax,language,Negative,-1.0
interested rhythm opening position investigate effects interactive synchronization rhythm learning language cit university reach,language,Positive,0.25
state translation industry translation language,language,Neutral,0.0
today last chance part catalyst program collaboration hexagon inviting working digital twin language translation predictive maintenance apply,language,Neutral,0.0
language,language,Neutral,0.0
get grade language paper speaking exam,language,Neutral,0.0
rede new translation poet history language culture poetry,language,Positive,0.13636363636363635
looking help new talk localization language,language,Positive,0.13636363636363635
breaking news news localization language translation media digital audio video technology local multilingual content,language,Neutral,0.0
saga saga long story account sequence saga long story composed medieval times iceland vocabulary language saga,language,Negative,-0.03333333333333333
looking recruit next study speak second language typical moral havent seen one suspicious good,language,Positive,0.10666666666666666
association incomprehensibility place lexicon learn culture language history,language,Neutral,0.0
large language,language,Positive,0.21428571428571427
time interested please come read article also times japan language trivia rumor,language,Positive,0.25
challenge day aircraft hangar airship hangar language,language,Neutral,0.0
new language needing immediate interpretation recently beta version via finland,language,Positive,0.06818181818181818
hurry last chance learn code days left save big dont miss offer enroll start language journey today learning language,language,Neutral,0.0
time interested please come read article also times japan language proverb rumor,language,Positive,0.25
know mystery language article also times mysterious story japan vol japan language mysterious rumor,language,Neutral,0.0
research failing integrate speak additional language via,language,Neutral,0.0
survey topic effect emotional resonance proficiency via meaning language emotion,language,Neutral,0.0
air language language german trainer tutor college university,language,Neutral,0.0
via dictionary language,language,Neutral,0.0
got chance listen episode good research language gender sexuality game well recent work new add linguistics,language,Positive,0.10909090909090907
new research much web data used train machine several times badly anything done via politico language,language,Negative,-0.09090909090909087
language new accent might future future,language,Positive,0.04545454545454545
request yesterday share ogham today ogham language used encode wisdom rowan tree ogham protection harmful language culture,language,Neutral,0.0
speaking consciousness youth language ethics morality moral,language,Neutral,0.0
say comment learning translation language,language,Neutral,0.0
thats far,language,Positive,0.1
terminology term language,language,Neutral,0.0
social media helping local translation language,language,Positive,0.016666666666666666
philosophy language brain,language,Neutral,0.0
take look free information support speech language communication speech language communication,language,Positive,0.4
bald die hat tun das language,language,Neutral,0.0
dont afraid give good great choose great language,language,Positive,0.42500000000000004
translation clinical uncover importance accurate compliance across diverse language translation contact translation globally,language,Positive,0.20000000000000004
song first time love style,love,Positive,0.375
new art discount art artist love drawing photography painting fashion like beautiful illustration follow design nature photo sketch style happy cute draw,love,Positive,0.5572727272727273
married rick shed never done totally gorgeous romantic comedy twist romance friendship drama love,love,Positive,0.3625
love massage healing tantra aura massage,love,Positive,0.5
new book today fragmented love meditation mind,love,Positive,0.3181818181818182
sexy new book happy sexy millionaire happy sexy love millionaire success pick lost spark everything,love,Positive,0.5045454545454545
today remember sunrise sunset dexter would turned old today king away ago today dearly legacy love,love,Positive,0.3
love reading comedy read humor motivational awareness romance,love,Positive,0.5
love weekender tote bag,love,Positive,0.5
anyone experienced dating would like share story love faith next week love,love,Positive,0.45
truly enjoy concert dance love gay,love,Positive,0.4388888888888889
said photo never seen look like love total abandon maybe met maybe immediately maybe man ever love,love,Positive,0.3333333333333333
step bold style keep classy connoisseur jacket executive level elegance cant beat valentine love,love,Positive,0.3111111111111111
water color love painting seek beauty create art,love,Positive,0.5
cute love,love,Positive,0.5
multilingual actor portray character performance good technique exceptional talent let perform actress love model film movie,love,Positive,0.6222222222222222
didnt want leave love life via,love,Positive,0.5
someone send human wine refusing inside needs drink tot snow cute love michigan,love,Positive,0.3333333333333333
coupon maximus innovation love beautiful happy follow,love,Positive,0.7166666666666668
geography probably better mine surely better dogs dogs adventure incredible uncanny woof love anniversary,love,Positive,0.6
happy supporting amazing never discover new post links share love bookworm reading,love,Positive,0.45727272727272733
always keep making money sports betting football fitness money basketball gambling sport casino photography athlete gambler love workout winning win,love,Positive,0.6
lovely see first spring wont long loving countryside good day starship love,love,Positive,0.4166666666666667
love original composition,love,Positive,0.4375
shopping store handmade love romantic,love,Positive,0.25
thirteen fourteen ago son autistic intellectually disabled poppa autism autism disability inclusion love,love,Positive,0.033333333333333326
pretty pal done ready forever home adopt love thoroughbred aftercare,love,Positive,0.31666666666666665
luxury food fitness handbag art love diet family nature fox travel sky photo anxiety loneliness,love,Positive,0.5
new edition release erotic buy love month romance,love,Positive,0.4454545454545455
spy phone media cheat partner love twitter school,love,Positive,0.5
canada welcoming country give back freedom ethics democracy liberty diversity culture education humane live love peace,love,Positive,0.21212121212121213
worth question ask question ability question motive care mark love god,love,Positive,0.4
zaman bile aile love,love,Positive,0.5
sweet everyone love,love,Positive,0.425
enough courage trust love one time always one time maya writing film stella,love,Positive,0.25
love state love outside deep within never lose leave,love,Positive,0.25
host love love television reality show,love,Positive,0.5
one best time love,love,Positive,0.75
utterly beautiful content unity solidarity pride love community,love,Positive,0.675
love,love,Positive,0.5
nice easy days love funny,love,Positive,0.4458333333333333
dev love story felt eternal fate chose play different tune dev love fate,love,Positive,0.3333333333333333
joy love joy laughter joy fun love peace kindness mindfulness blessed,love,Positive,0.6166666666666667
one world one love one joy one universe one peace one family mindfulness quote blessed,love,Positive,0.65
rebellious active covenant earn place eternal unproductivity torment earn title forever increase increase god amen love holy life grace faith wisdom,love,Positive,0.18333333333333335
joy love peace kindness mindfulness blessed,love,Positive,0.65
song streaming viral song edit trend love music twitter,love,Positive,0.5
brilliant deeply moving result copper sky total historical fiction copper friendship love redemption butte montana kindle,love,Positive,0.27999999999999997
got something really nice coming day love,love,Positive,0.55
baby boy sol mar look love black yes style pop music party,love,Positive,0.16666666666666669
two ways people show much truly love full actually believe first time love,love,Positive,0.3
amazing time world interview viral news fun love,love,Positive,0.46666666666666673
peace equality love security support,love,Positive,0.5
dogs cute love,love,Positive,0.5
ley golden retriever negro relationship friendship love history,love,Positive,0.4
love heart teen dance clark,love,Positive,0.25
message mother inspired environment love magic,love,Positive,0.5
day days ready time ticking valentine love gift fashion anniversary like heart,love,Positive,0.35
quote dont know communicate well make less lovable undermine romance love dating divorce,love,Positive,0.2777777777777778
amor error love amor leer,love,Positive,0.5
beautiful love,love,Positive,0.675
never change kai best love sog possession kai like father figure,love,Positive,0.75
love crime drama heart risky couple,love,Positive,0.5
creative writing love fiction,love,Positive,0.5
new perfect treat love,love,Positive,0.5454545454545454
cur lent instant vincent citation quote amour love,love,Positive,0.25
often misunderstood semicolon cup tea exception grammar writing higher education people give humble punctuation mark cold shoulder language,language,Negative,-0.18333333333333335
grammar language,language,Neutral,0.0
cutter language,language,Neutral,0.0
year dragon dont want miss zoom language,language,Neutral,0.0
listening language music band acoustic guitar album vinyl,language,Neutral,0.0
gym safari hyne reporter seiner gym gym fitness entertainment safari funny comedy,fitness,Positive,0.25
technology news guarantee survey research confirmed based authority university lecturer verification provided correct manner,technology,Positive,0.4
technology,technology,Neutral,0.0
technology dot flatter faster leaner better sap unity twitch discord audible,technology,Positive,0.5
new colossus security technology news,technology,Positive,0.13636363636363635
growing artificial successfully begun health research science technology,technology,Positive,0.07500000000000001
terminology glossary explanation technology tech development,technology,Neutral,0.0
looking fellow connect connect grow together technology,technology,Neutral,0.0
eye system control laser via tech technology innovation,technology,Neutral,0.0
team would like personally congratulate listing technology innovation,technology,Neutral,0.0
innovative potential hypercycle foundation global network collaborative convergence effectively tackle diverse technology,technology,Positive,0.275
slingshot building machine human history reaching space without current technology new edition,technology,Positive,0.04545454545454545
adobe digital interactive dress project primrose conference fashion innovation technology,technology,Neutral,0.0
growing shortage technology,technology,Neutral,0.0
higher security score know set something big also note market technology security,technology,Positive,0.125
theres clear winning strategy technology news,technology,Positive,0.3
rise top technology,technology,Positive,0.5
influencer marketing perspective influencer innovation technology marketing,technology,Neutral,0.0
web video animation architectural series digital limitless potential human imagination technology,technology,Neutral,0.0
cloud technology,technology,Neutral,0.0
could science technology engineering mathematics stem powerhouse ensure female stem,technology,Neutral,0.0
chosen official recipient benjamin franklin medal earth environmental science science technology innovation,technology,Neutral,0.0
industry technology innovation,technology,Neutral,0.0
ready fully home think security task technology smart time smart home certification,technology,Positive,0.20952380952380953
get ready great disappointment economics business innovation tech technology,technology,Positive,0.13333333333333333
help move away legacy technology help great application powerful tool move away long overdue,technology,Positive,0.35000000000000003
honestly believe data exchange format may change way think use forever technology nearly endless made engineering chips poker much simpler data integrity use use instead need data sent privately single party many use instead need embed data many tied verifiably identity use instead note simply like digital actually registered tied address directly base layer,technology,Positive,0.08035714285714286
interesting article great see getting involved technology foundation platform technology innovation,technology,Positive,0.65
dont miss design technology security,technology,Neutral,0.0
critical cisco flaw remotely take unified security news today technology cisco,technology,Negative,-0.05
new science art film program dont want miss single event find film science technology interstellar chappie vesper,technology,Positive,0.032467532467532464
tomorrow pleasure welcoming talk new approach research speed quality audience reach simplified register global international technology,technology,Positive,0.04545454545454545
million mobile data sale dark web security technology news,technology,Negative,-0.15
pressing season debut reddy across monitor technology influencer fantastic listen curious influencer work like outside tune,technology,Positive,0.10000000000000002
explaining tech technology optional privacy together everything missing dot sol link loka manta well tao atom alt wen honk trading money investment business invest entrepreneur trader investor finance,technology,Negative,-0.2
better bee network technology,technology,Positive,0.5
unlock financial freedom dao formidable near technology photographer,technology,Positive,0.05
social technology,technology,Positive,0.03333333333333333
disk partition table format technology,technology,Neutral,0.0
wouldnt want save time money perfect solution achieve innovation management technology future productivity,technology,Positive,0.5
attention company would like share successful entrance industry loyal already running scaling building technology incubator,technology,Positive,0.5416666666666666
revenue weak earnings technology,technology,Negative,-0.375
pushing plastic conversion clean fuel production exciting horizon greener cleaner future click link full video business technology nature,technology,Positive,0.25416666666666665
consulting revenue earnings technology,technology,Neutral,0.0
join dialogue episode role technology effective data utilization,technology,Positive,0.6
cancer novel technology view cancer detect destroy via,technology,Negative,-0.2
technology whole problem wisdom technology metaphorically equivalent moving unless tested within past like week,technology,Negative,-0.016666666666666663
join nature pix exhibition opening reception celebrate creative synergy nature technology please,technology,Positive,0.5
probe anthropic cloud technology,technology,Neutral,0.0
nep help ensure holistic approach towards integration technology different functional sector,technology,Neutral,0.0
new magnifier shot show find defense technology ordnance military,technology,Positive,0.018181818181818174
without data technology,technology,Neutral,0.0
suck technology,technology,Neutral,0.0
use real estate marketing finding effective marketing challenge however rise technology ever one tool business,technology,Positive,0.4
year augmented mentality technology,technology,Neutral,0.0
global semiconductor market rebound sight rise technology,technology,Neutral,0.0
juniper acquisition wise move business technology,technology,Positive,0.7
boost business technology,technology,Neutral,0.0
weird new vision pro big apple technology,technology,Negative,-0.12121212121212122
jet german innovation aviation electric aircraft unique design air travel engineering technology science,technology,Positive,0.1875
stop charging transfer data cloud technology good step forward,technology,Positive,0.7
nature insurance technology,technology,Neutral,0.0
different know valuable developer need know technology working currently dont stop technology today may become close useless tomorrow,technology,Negative,-0.16666666666666666
agreement build electrolysis read electrolysis technology,technology,Neutral,0.0
moving forward digital technology contract create growth client satisfaction,technology,Neutral,0.0
climate energy economic trade science technology across join marketing international trade policy committee winter policy conference next week,technology,Positive,0.06666666666666667
anyone mobile phone tap mine earn battery consumption ice technology,technology,Neutral,0.0
new invisible tech military ultimate advantage today innovation technology,technology,Positive,0.012121212121212116
business mission barcelona marked industrial specialized design manufacture maintenance aluminium transformation innovation transfer technology,technology,Positive,0.1
truth fast incredible team know surprising technology learn incredible check friend learn formula observability,technology,Positive,0.675
chips china use para technology,technology,Neutral,0.0
best portable tested get ready warmer weather new grill ensure delicious meal matter end tech technology,technology,Positive,0.5840909090909091
nightshade tool data fighting chance image nightshade image university art technology,technology,Neutral,0.0
technology news,technology,Neutral,0.0
productivity new era efficiency across innovation technology,technology,Positive,0.13636363636363635
take look love afterschool stem stem science technology engineering math,technology,Positive,0.5
economics trucking understanding revenue curious world trucking theres doubt know understanding economics read technology,technology,Negative,-0.1
con usar water technology,technology,Neutral,0.0
technology zone residential technology innovation,technology,Neutral,0.0
hacker technology data,technology,Neutral,0.0
las technology innovation,technology,Neutral,0.0
privacy nightmare technology privacy,technology,Neutral,0.0
winner communication collaboration category impact lux interactive display winner collaboration technology,technology,Neutral,0.0
simple text sky limit future technology python,technology,Neutral,0.0
dragon closer year wooden dragon ready china dragon holiday,holiday,Positive,0.1
sitting bull oasis desert travel holiday vacation,holiday,Neutral,0.0
hell freezing day holiday,holiday,Neutral,0.0
hearts flat digital clip art vector graphic commercial use cartoon heart holiday love vector,holiday,Positive,0.095
wondering holiday year visit beautiful learn local history heartbreaking,holiday,Positive,0.425
seaside serenity holiday cottage picturesque village isle holiday cottage coastal retreat like holiday,holiday,Neutral,0.0
appreciate social security check day holiday,holiday,Positive,0.03333333333333333
backwards day holiday,holiday,Neutral,0.0
brandy day holiday,holiday,Neutral,0.0
inspire heart art day holiday,holiday,Neutral,0.0
eat day holiday,holiday,Neutral,0.0
national hot chocolate day holiday,holiday,Positive,0.25
hug economist day holiday,holiday,Neutral,0.0
scotch tape day holiday,holiday,Neutral,0.0
travel tourism travel holiday,holiday,Neutral,0.0
travel essential travel luggage organizer storage handle luggage vacation holiday,holiday,Neutral,0.0
looking holiday inspiration explore fantastic create beautiful quilt adorable red trucks festive satisfy holiday,holiday,Positive,0.4375
villa villa house await welcome charming country retreat easter summer perfect summer vacation holiday island,holiday,Positive,0.8333333333333334
cute valentine panda bear flat design vector graphic bundle set commercial use cartoon holiday love vector,holiday,Positive,0.195
favorite scene holiday cant wait together,holiday,Positive,0.5
cute valentine bear cartoon flat design vector graphic bundle set commercial use cartoon holiday love vector,holiday,Positive,0.195
risk bare minimum holiday leisure,holiday,Positive,0.05
comment would like see next travel holiday nature edit,holiday,Neutral,0.0
holiday frenzy decrease decrease frenzy holiday,holiday,Neutral,0.0
enjoy free shot dutch gin giveaway taste visit experience holiday dutch tour drink,holiday,Positive,0.4
made truly affordable flying direct barcelona romance holiday tour visit honeymoon,holiday,Positive,0.1
dont forget among included visit holiday vacation,holiday,Neutral,0.0
one captivating city another fly direct truly affordable holiday tour vacation,holiday,Positive,0.46666666666666673
fly direct amazing enchanting romance holiday visit tour,holiday,Positive,0.5
enjoy free entry casino poker gambling baccarat roulette luck holiday,holiday,Positive,0.4
discover new york city depart june nights new york grand central new york city breakfast message information travel holiday cruise,holiday,Positive,0.18181818181818182
basilica trip travel traveling vacation holiday,holiday,Neutral,0.0
everything need fantastic holiday stay lodge lake chalet park water park close idyllic see inside,holiday,Positive,0.4
need holiday suite family king twin double single available full breakfast direct diary open travel,holiday,Positive,0.12976190476190477
around min drive stunning sailing bubble perfect place day stay visit holiday travel photo,holiday,Positive,0.75
well enjoying many doorstep also travel afield away stay visit family holiday travel,holiday,Positive,0.5
across beautiful spacious grounds catch bus outside stay visit family zoo holiday travel,holiday,Positive,0.425
easter mar high profile nearby stay visit family holiday travel surrey,holiday,Positive,0.16
lots great look forward next year june holiday travel family,holiday,Positive,0.4
throughout year visit nearby min train journey easter sat stay visit holiday travel family,holiday,Neutral,0.0
doorstep course much min min min min book holiday,holiday,Positive,0.2
subscribe adventure engaged content travel nature wildlife holiday,holiday,Neutral,0.0
hey holiday gear dogs,holiday,Neutral,0.0
winter sea beautiful enjoy magical afternoon holiday vacation split sunset beach,holiday,Positive,0.5833333333333334
prepare unforgettable visit derry reserve stay getaway last lifetime hotel holiday travel derry traveler,holiday,Positive,0.4
bald ist die show winter mal handmade artist holiday visit,holiday,Neutral,0.0
experience charm island cottage immerse outstanding accommodation holiday getaway seaside retreat coast southwest,holiday,Positive,0.5
tonight lit green yellow special light show every hour mark recognition partnership shine light progress holiday season stay tuned coming soon,holiday,Positive,0.19142857142857145
beach holiday,holiday,Neutral,0.0
work holiday country,holiday,Neutral,0.0
back fun finding sheep wasnt always easy getting photo right holiday travel,holiday,Positive,0.25476190476190474
das playa relax music vacation show influencer pic holiday,holiday,Neutral,0.0
winter florence see tomorrow world travel wanderlust tourism vacation traveling traveller tour tourist holiday wanderer trip,holiday,Neutral,0.0
holiday,holiday,Neutral,0.0
know best shirk royal duty sick bit harsh non per year holiday,holiday,Positive,0.028571428571428564
help pick best holiday favorite,holiday,Positive,0.75
make dream trip memorable experience easy travel travel airport holiday,holiday,Positive,0.4666666666666667
illustration portfolio ready illustrator colorful easter greeting card holiday easter,holiday,Positive,0.25
already favorite pitch season camper caravan holiday cabin travel,holiday,Positive,0.5
kiss holiday sunshine,holiday,Neutral,0.0
home one foot rest far away yesterday holiday,holiday,Positive,0.1
lovely fairy tale two flamingo tropical flower puzzle art animal flamingo tropical holiday birthday girl wedding heart decoration invitation via,holiday,Positive,0.5
enter marvel snap holiday event enter event holiday marvel news review snap,holiday,Neutral,0.0
stroke explore holiday,holiday,Neutral,0.0
rare antique german new good luck health holiday card history collection update original ephemera like follow shop holiday,holiday,Positive,0.30227272727272725
colonnade colonnade sons busy day sea sea beach seaside holiday history,holiday,Positive,0.1
beautiful fashion woman coffee cup pop art art contemporary woman coffee mug fashion modern holiday birthday girl wedding heart decoration via,holiday,Positive,0.4055555555555555
beautiful fashion woman coffee pillar candle art contemporary woman coffee mug fashion modern holiday birthday girl wedding decoration via,holiday,Positive,0.4055555555555555
coffee cup beautiful fashion woman flask art contemporary woman coffee mug fashion modern holiday birthday girl wedding decoration via,holiday,Positive,0.4055555555555555
discover charm accommodation farm near tranquil perfect idyllic holiday holiday relax,holiday,Positive,0.55
